Domain,Category,Status,Purpose / Target Buyer,Priority,Notes
thebergerongroup.com,Brand & Identity,Owned,Primary team brand — redirect to hub or build brand site,HIGH,
nancybergeron.com,Brand & Identity,Owned,Personal brand — bio site or redirect to hub,HIGH,
bergeronteam.com,Brand & Identity,Owned,Short team brand — redirect to hub,Medium,
nancybergeronteam.com,Brand & Identity,Owned,Team brand variant — redirect to hub,Medium,
bergeronrealtygroup.com,Brand & Identity,Owned,Professional brand — redirect to hub,Medium,
brgreviews.com,Brand & Identity,Owned,Reviews & reputation showcase site,HIGH,
kellerwilliamshotsprings.com,Brokerage / Corporate,Owned,Captures KW brand searches — build or redirect,HIGH,
kwhotsprings.com,Brokerage / Corporate,Owned,Short KW brand — redirect to above,Medium,
kellerwilliamsrealtyhotsprings.com,Brokerage / Corporate,Owned,Full name variant — redirect,Low,
thebergerongroup.com,Anchor / Hub Sites,Owned,THE HUB — main site [ALREADY BUILT],BUILT,
realestatehotsprings.com,Anchor / Hub Sites,Owned,Broad Hot Springs RE — spoke site,HIGH,
hotspringspropertygroup.com,Anchor / Hub Sites,Owned,General RE brand site,HIGH,
hotspringsrealtygroup.com,Anchor / Hub Sites,Owned,General RE brand variant,Medium,
propertyforsaleinhotsprings.com,Anchor / Hub Sites,Owned,Buyer search intent — build niche site,HIGH,
hotspringshomesforsale.ai,Anchor / Hub Sites,Owned,"Modern AI domain — trendy, tech-forward",HIGH,
lakehamiltonhomesforsale.com,Lake & Waterfront,Owned,#1 lake keyword — full niche site,HIGH,
lakehamiltonhomesforsale.ai,Lake & Waterfront,Owned,AI variant — redirect or secondary,Medium,
hotspringsnationalparkhomesforsale.com,Park Avenue & Historic District,Owned,National Park proximity niche,HIGH,
hotspringsparkavenuerealestate.com,Park Avenue & Historic District,Owned,Park Ave luxury niche,HIGH,
hotspringsparkavenueproperty.com,Park Avenue & Historic District,Owned,Park Ave variant — redirect to above,Low,
hotspringsparkavenuepropertyforsale.com,Park Avenue & Historic District,Owned,Long variant — redirect,Low,
hotspringshistoricdistrictproperty.com,Park Avenue & Historic District,Owned,Historic district niche site,HIGH,
cabinshotsprings.com,Vacation Rentals & Cabins,Owned,Cabin rental/sales niche,HIGH,
rememberwhencabins.com,Vacation Rentals & Cabins,Owned,Branded cabin property,Medium,
lakedegraycabins.com,Vacation Rentals & Cabins,Owned,Lake DeGray niche,Medium,
naturalchoicerealty.com,Niche & Lifestyle,Owned,"Tagline-branded — ""The Natural Choice""",Medium,
letsmaketheoffer.com,Niche & Lifestyle,Owned,Buyer engagement / app concept,Medium,
retirehotsprings.com,New — Retirement,Register Now,Retirees researching Hot Springs,HIGH,AVAILABLE
hsvhomesforsale.com,New — Hot Springs Village,Register Now,HSV buyers (massive market),HIGH,AVAILABLE
hotspringsluxuryhomes.com,New — Luxury,Register Now,High-end buyers ($500K+),HIGH,AVAILABLE
lakefronthotsprings.com,New — Lake / Waterfront,Register Now,Waterfront home seekers,HIGH,AVAILABLE
hotspringslakehomes.com,New — Lake / Waterfront,Register Now,Lake home searchers,HIGH,AVAILABLE
hotsprings55plus.com,New — Retirement / 55+,Register Now,Active adult community seekers,HIGH,AVAILABLE
relocatetohotsprings.com,New — Relocation,Register Now,Families moving to AR,HIGH,AVAILABLE
sellinginhotsprings.com,New — Seller-Focused,Register Now,Homeowners ready to list,HIGH,AVAILABLE
hotspringsinvestments.com,New — Investment / Airbnb,Register Now,Investors seeking rental income,HIGH,AVAILABLE
hotspringsrental.com,New — Rentals / STR,Register Now,Short-term rental investors,HIGH,AVAILABLE
newtohotsprings.com,New — Relocation,Register Now,Newcomers exploring the area,HIGH,AVAILABLE
hotspringsacreage.com,"Niche — Land, Acreage & Rural Property",Register Now,Buyers wanting space and privacy,,AVAILABLE
hotspringslandforsale.com,"Niche — Land, Acreage & Rural Property",Register Now,Direct land-search keyword capture,,AVAILABLE
ouachitalandforsale.com,"Niche — Land, Acreage & Rural Property",Register Now,Ouachita Mountain land buyers,,AVAILABLE
hotspringshomestead.com,"Niche — Land, Acreage & Rural Property",Register Now,Self-sufficiency / homesteading movement,,AVAILABLE
hotspringslotsforsale.com,"Niche — Land, Acreage & Rural Property",Register Now,Builders & buyers looking for building lots,,AVAILABLE
arkansasranchland.com,"Niche — Land, Acreage & Rural Property",Register Now,Ranch & large-acreage investors statewide,,AVAILABLE
arkansasfarmland.com,"Niche — Land, Acreage & Rural Property",Register Now,Agricultural investors and hobby farmers,,AVAILABLE
hotspringsruralproperty.com,"Niche — Land, Acreage & Rural Property",Register Now,Rural lifestyle seekers escaping cities,,AVAILABLE
arkansashuntingland.com,"Niche — Hunting, Timber & Recreational Land",Register Now,"Out-of-state hunters, land investors",,AVAILABLE
arkansastimberland.com,"Niche — Hunting, Timber & Recreational Land",Register Now,Generational wealth / timber investors,,AVAILABLE
arkansashuntingproperty.com,"Niche — Hunting, Timber & Recreational Land",Register Now,Trophy deer & turkey hunting land buyers,,AVAILABLE
ouachitahuntingland.com,"Niche — Hunting, Timber & Recreational Land",Register Now,Ouachita Forest recreational land seekers,,AVAILABLE
arkansasdeercamp.com,"Niche — Hunting, Timber & Recreational Land",Register Now,Hunting camp & cabin land buyers,,AVAILABLE
hotspringsrecland.com,"Niche — Hunting, Timber & Recreational Land",Register Now,"Recreational land for ATV, camping, fishing",,AVAILABLE
arkansaswildlifeproperty.com,"Niche — Hunting, Timber & Recreational Land",Register Now,Conservation-minded land investors,,AVAILABLE
lakehamiltonboatslips.com,"Niche — Lake, Waterfront & Marina",Register Now,Boat owners seeking dock access,,AVAILABLE
lakehamiltonmarina.com,"Niche — Lake, Waterfront & Marina",Register Now,Marina business & boat slip investors,,AVAILABLE
lakecatherinehomes.com,"Niche — Lake, Waterfront & Marina",Register Now,Lake Catherine waterfront buyers,,AVAILABLE
lakedegrayrealestate.com,"Niche — Lake, Waterfront & Marina",Register Now,Lake DeGray home & cabin buyers,,AVAILABLE
hotspringswaterfrontlots.com,"Niche — Lake, Waterfront & Marina",Register Now,Buyers wanting to build on the water,,AVAILABLE
lakehamiltonrentals.com,"Niche — Lake, Waterfront & Marina",Register Now,Lake rental investors & vacation rental buyers,,AVAILABLE
lakehamiltonluxury.com,"Niche — Lake, Waterfront & Marina",Register Now,High-end waterfront buyers ($500K+),,AVAILABLE
lakebalboahomes.com,"Niche — Lake, Waterfront & Marina",Register Now,Lake Balboa community buyers,,AVAILABLE
hotspringsfixerupper.com,Niche — Fix & Flip / Bargain Properties,Register Now,HGTV-inspired flippers and renovators,,AVAILABLE
fliphotsprings.com,Niche — Fix & Flip / Bargain Properties,Register Now,House flippers seeking deals,,AVAILABLE
hotspringsforeclosures.com,Niche — Fix & Flip / Bargain Properties,Register Now,Bargain hunters searching foreclosure deals,,AVAILABLE
hotspringshomesunder100k.com,Niche — Fix & Flip / Bargain Properties,Register Now,Budget buyers & starter home seekers,,AVAILABLE
hotspringshomesunder200k.com,Niche — Fix & Flip / Bargain Properties,Register Now,Affordable home buyers in the mid-range,,AVAILABLE
hotspringsforsalebyowner.com,Niche — Fix & Flip / Bargain Properties,Register Now,FSBO leads — sellers who need help,,AVAILABLE
hotspringshandymanspecial.com,Niche — Fix & Flip / Bargain Properties,Register Now,DIY buyers looking for project homes,,AVAILABLE
hotspringsdistressedhomes.com,Niche — Fix & Flip / Bargain Properties,Register Now,Wholesale & distressed property investors,,AVAILABLE
hotspringsincomeproperty.com,Niche — Investment & Income Property,Register Now,Passive income investors,,AVAILABLE
hotspringsduplex.com,Niche — Investment & Income Property,Register Now,"Cash flow investors, house hackers",,AVAILABLE
hotspringsmultifamily.com,Niche — Investment & Income Property,Register Now,Multi-unit apartment building investors,,AVAILABLE
hotspringsairbnb.com,Niche — Investment & Income Property,Register Now,Short-term rental investors (Airbnb/VRBO),,AVAILABLE
hotspringsinvestmentproperty.com,Niche — Investment & Income Property,Register Now,Broad investment property keyword capture,,AVAILABLE
arkansasrentalproperties.com,Niche — Investment & Income Property,Register Now,Statewide rental property investors,,AVAILABLE
hotspringsapartmentsforsale.com,Niche — Investment & Income Property,Register Now,Apartment complex investors,,AVAILABLE
hotspringsfourplex.com,Niche — Investment & Income Property,Register Now,FHA-eligible 4-unit house hackers,,AVAILABLE
ownerfinancehotsprings.com,Niche — Owner Finance & Creative Finance,Register Now,Buyers seeking owner-financed deals,,AVAILABLE
hotspringsownerfinance.com,Niche — Owner Finance & Creative Finance,Register Now,Alternate keyword targeting,,AVAILABLE
hotspringsrenttoown.com,Niche — Owner Finance & Creative Finance,Register Now,Rent-to-own / lease-option buyers,,AVAILABLE
arkansasownerfinance.com,Niche — Owner Finance & Creative Finance,Register Now,Statewide owner-finance searches,,AVAILABLE
hotspringsleaseoption.com,Niche — Owner Finance & Creative Finance,Register Now,Lease-option & contract-for-deed seekers,,AVAILABLE
hotspringsnomonedown.com,Niche — Owner Finance & Creative Finance,Register Now,Zero-down / low-barrier-to-entry buyers,,AVAILABLE
hotspringsMHP.com,Niche — Mobile & Manufactured Homes,Register Now,Mobile home park investors (high-cap-rate),,AVAILABLE
hotspringsmobilehomes.com,Niche — Mobile & Manufactured Homes,Register Now,Affordable mobile home buyers,,AVAILABLE
